#defition of the sectors in Atomic.json

sector 62, state 01111111: N=7, Sz= 0, k0=1, k1=0

sector 63, state 10000000: N=1, Sz= 0, k0=1, k1=0

sector 64, state 10001111: N=5, Sz=-1, k0=1, k1=0

sector 65, state 10110000: N=3, Sz= 1, k0=1, k1=1

sector 66, state 10110011: N=5, Sz= 0, k0=1, k1=0
sector 66, state 11100110: N=5, Sz= 0, k0=1, k1=0
sector 66, state 11101001: N=5, Sz= 0, k0=1, k1=0
sector 66, state 11010101: N=5, Sz= 0, k0=1, k1=0
sector 66, state 11011010: N=5, Sz= 0, k0=1, k1=0
sector 66, state 10111100: N=5, Sz= 0, k0=1, k1=0

sector 67, state 10111111: N=7, Sz= 0, k0=1, k1=1

sector 68, state 11010000: N=3, Sz= 1, k0=0, k1=1

sector 69, state 11011111: N=7, Sz= 0, k0=0, k1=1

sector 70, state 11100000: N=3, Sz= 1, k0=0, k1=0

sector 71, state 11101111: N=7, Sz= 0, k0=0, k1=0

sector 72, state 11110000: N=4, Sz= 2, k0=0, k1=0

sector 73, state 11110001: N=5, Sz= 1, k0=0, k1=0

sector 74, state 11110010: N=5, Sz= 1, k0=0, k1=1

sector 75, state 11110011: N=6, Sz= 1, k0=0, k1=1
sector 75, state 11111100: N=6, Sz= 1, k0=0, k1=1

sector 76, state 11110100: N=5, Sz= 1, k0=1, k1=1

sector 77, state 11110101: N=6, Sz= 1, k0=1, k1=1
sector 77, state 11111010: N=6, Sz= 1, k0=1, k1=1

sector 78, state 11110110: N=6, Sz= 1, k0=1, k1=0
sector 78, state 11111001: N=6, Sz= 1, k0=1, k1=0

sector 79, state 11110111: N=7, Sz= 0, k0=1, k1=0

sector 80, state 11111000: N=5, Sz= 1, k0=1, k1=0

sector 81, state 11111011: N=7, Sz= 0, k0=1, k1=1

sector 82, state 11111101: N=7, Sz= 0, k0=0, k1=1

sector 83, state 11111110: N=7, Sz= 0, k0=0, k1=0

sector 84, state 11111111: N=8, Sz= 0, k0=0, k1=0
