#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 34.7003189  0.0030569 -0.0278435  0.0008238 -0.0281548 -0.0000615 -0.0001135 -0.0003593 -0.0284393
 34.9859182  0.0030707 -0.0275081  0.0004753 -0.0280083 -0.0001541  0.0000399 -0.0007182 -0.0281187
 35.2715175  0.0026119 -0.0279745  0.0009722 -0.0277647  0.0001288 -0.0000146 -0.0006821 -0.0278045
 35.5571169  0.0024813 -0.0276838  0.0007566 -0.0277638  0.0000756 -0.0001565 -0.0008112 -0.0278744
 35.8427162  0.0025169 -0.0269224  0.0010097 -0.0273163 -0.0001298  0.0001581 -0.0002888 -0.0275377
 36.1283155  0.0029869 -0.0276597  0.0011359 -0.0272599  0.0000273  0.0000822 -0.0002419 -0.0269904
 36.4139148  0.0022381 -0.0266807  0.0009714 -0.0271940  0.0000802  0.0000536 -0.0008823 -0.0269487
 36.6995142  0.0024728 -0.0266493  0.0010572 -0.0268680  0.0001562 -0.0000138 -0.0002839 -0.0274324
 36.9851135  0.0030511 -0.0267619  0.0012050 -0.0268009  0.0000972  0.0001217 -0.0007763 -0.0264444
 37.2707128  0.0020372 -0.0269874  0.0011798 -0.0263361  0.0001106  0.0000747 -0.0003121 -0.0263315
 37.5563122  0.0023550 -0.0259167  0.0014315 -0.0266279 -0.0001297 -0.0000719 -0.0003144 -0.0263417
 37.8419115  0.0026006 -0.0260143  0.0009949 -0.0262711 -0.0000280 -0.0000163 -0.0010595 -0.0258834
 38.1275108  0.0027002 -0.0262469  0.0006355 -0.0261816 -0.0000175  0.0000235 -0.0008933 -0.0259114
 38.4131102  0.0019131 -0.0256016  0.0008380 -0.0257385 -0.0000783 -0.0001294 -0.0005668 -0.0259402
 38.6987095  0.0016131 -0.0256416  0.0005075 -0.0261104 -0.0000786 -0.0000573 -0.0007665 -0.0259155
 38.9843088  0.0021046 -0.0246160  0.0003808 -0.0252617 -0.0000154  0.0000471 -0.0005866 -0.0253986
 39.2699082  0.0023724 -0.0244091  0.0008705 -0.0255760  0.0000204 -0.0001191 -0.0008695 -0.0254691
 39.5555075  0.0021573 -0.0246628  0.0009294 -0.0255983  0.0001012  0.0000099 -0.0003210 -0.0249777
 39.8411068  0.0020811 -0.0248840  0.0006144 -0.0251388  0.0001252 -0.0000465 -0.0005565 -0.0249779
 40.1267062  0.0020774 -0.0248301  0.0008775 -0.0249272  0.0000116 -0.0000220 -0.0001571 -0.0241281
