tp	tpp	U	ave_D       	ave_mu     	ave_M       	mu	dt	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	tb1a_1	tb1b_1	tb2a_1	tb2b_1	tb3a_1	tb3b_1	tb4a_1	tb4b_1	tb5a_1	tb5b_1	tb6a_1	tb6b_1	tb7a_1	tb7b_1	tb8a_1	tb8b_1	pb3a_1	pb4b_1	pb5b_1	pb6a_1	db3a_1	db3b_1	db4a_1	db4b_1	db5a_1	db5b_1	db6a_1	db6b_1	mb1a_1	mb2a_1	mb3a_1	mb3b_1	mb4a_1	mb4b_1	mb5a_1	mb5b_1	mb6a_1	mb6b_1	mb7a_1	mb8a_1
-0.3	0.2	8	-0.000004088	0.980927930	-0.681916990	2.52	0	-0.041114254	-0.78342203	1.970193	-0.42186653	1.9701948	-0.42186648	2.9046374	-0.38801001	0.15357791	0.15357782	0.37173132	0.37173114	2.3035903e-09	0.51322742	0.42571191	1.9605292e-08	0.51322764	4.7270259e-09	2.0369015e-08	0.42571189	0.435547	0.43554694	0.24289067	0.24289106	6.983113e-06	-3.2596631e-06	2.15526e-05	-7.1618557e-06	-7.4255753e-06	1.3779171e-08	-5.8248977e-09	-1.7684693e-05	-7.8273182e-09	2.6359012e-05	2.2641497e-05	5.407009e-09	0.076000588	0.17351512	-3.7840841e-09	0.15755103	0.12529268	-7.8363321e-09	-0.15755132	-8.7266706e-09	-8.3262492e-10	-0.1252927	-0.25389528	0.079552394
-0.3	0.2	8	0.000000001 	0.983662130	-0.685606010	2.54	0	-0.053336837	-0.81338228	2.0392859	-0.44439008	2.0392822	-0.44439016	2.979737	-0.41698751	0.15938208	0.15938207	0.37421136	0.37421141	1.5340896e-08	0.52179948	0.42971907	5.8807486e-08	0.52179903	4.099373e-08	5.4394233e-09	0.42971913	0.44439274	0.44439279	0.24114993	0.2411499	2.4524541e-08	-5.081002e-09	5.7233727e-09	2.6619974e-09	-7.5516887e-08	9.7146053e-09	3.9796049e-10	-2.58152e-08	1.3647367e-10	-2.116321e-08	3.4210913e-09	5.407009e-09	0.078763608	0.18414348	-1.2738089e-07	0.15960093	0.12544284	-1.7141055e-07	-0.15960053	-1.3161729e-07	-1.6018279e-07	-0.12544282	-0.25416395	0.06724662
-0.3	0.2	8	0.000000001 	0.985964760	-0.687960650	2.56	0	-0.069830006	-0.85455258	2.1065496	-0.46823822	2.1065465	-0.4682386	3.0606744	-0.44901433	0.16810387	0.16810402	0.37627644	0.37627676	5.7624152e-08	0.53055792	0.43373371	3.9331327e-08	0.53055744	5.2731942e-08	4.6950497e-08	0.43373385	0.45448437	0.45448449	0.23629278	0.23629206	1.8790143e-08	-6.3028453e-09	-8.510062e-09	4.8447362e-09	-3.703785e-08	7.5729046e-09	-1.2098717e-09	-1.0868048e-08	-3.3409171e-09	-6.0582541e-09	-2.6964156e-09	5.407009e-09	0.084024491	0.19886626	1.4946923e-08	0.16142472	0.12569035	1.9816195e-08	-0.16142466	1.4599492e-09	3.5265092e-08	-0.12569034	-0.25356468	0.048914654
-0.3	0.2	8	-0.000000002	0.994750620	-0.735521720	2.58	0	-0.092212545	-0.91405727	2.1718907	-0.49361027	2.1718846	-0.4936106	3.1441777	-0.48202998	0.18018524	0.18018544	0.37681843	0.3768187	2.3228852e-08	0.53950446	0.43778182	2.4571542e-08	0.53950369	2.2802563e-08	2.1816624e-08	0.43778199	0.46544042	0.46544049	0.2276954	0.22769473	-2.1024287e-08	6.0037946e-09	2.0175184e-08	-4.9796454e-09	-1.4033536e-09	8.6396152e-09	-3.1811141e-10	8.8474609e-10	-6.9771855e-10	4.9497656e-09	2.3265307e-09	5.407009e-09	0.092305354	0.21693633	-2.9911538e-08	0.16305413	0.12601287	-1.5767519e-08	-0.16305356	-3.0132592e-08	-7.7634094e-09	-0.12601281	-0.25205171	0.025277844
-0.3	0.2	8	-0.000000003	0.997577590	-0.739532470	2.6	0	-0.1198684	-0.98962778	2.2342583	-0.52062401	2.2342578	-0.52062424	3.2230339	-0.51356407	0.19371842	0.19371847	0.37498882	0.37498874	4.4877906e-08	0.54860675	0.44182605	8.0616751e-09	0.54860657	2.9616437e-08	2.4098114e-08	0.44182608	0.47619313	0.47619318	0.21736143	0.21736143	-3.8785634e-08	2.2455255e-09	3.9419171e-08	-1.158657e-08	2.4502047e-08	1.1911959e-08	-1.0046947e-08	1.2242912e-08	-1.1388147e-08	9.664258e-09	9.621634e-09	5.407009e-09	0.1024441	0.2343695	-2.200836e-09	0.1644373	0.12634737	5.1969679e-08	-0.1644373	5.886041e-11	5.6806906e-08	-0.12634731	-0.2501933	0.0015126757
-0.3	0.2	8	-0.000000004	0.998673250	-0.741604560	2.62	0	-0.1495469	-1.0658879	2.2921845	-0.5489218	2.292184	-0.54892189	3.291599	-0.54328287	0.20544427	0.20544425	0.37148689	0.37148683	-1.6173069e-09	0.55771555	0.44576146	-1.4080749e-08	0.55771542	-1.2144156e-09	-1.9185649e-08	0.44576145	0.48574784	0.48574787	0.20788289	0.20788293	4.3076736e-08	-1.6008922e-08	-2.3425824e-08	5.0591046e-09	-1.7692317e-09	4.2874455e-09	5.7767392e-10	1.7292768e-09	2.8173527e-09	4.2312589e-09	7.6237974e-10	5.407009e-09	0.11218829	0.24811536	-3.6960241e-08	0.16547766	0.12663947	-1.5942818e-08	-0.16547821	-3.5090526e-08	-2.2965224e-08	-0.12663953	-0.24881271	-0.018316749
-0.3	0.2	8	0.000000003 	0.998776670	-0.742495710	2.64	0	-0.17869152	-1.1318657	2.3449097	-0.5777897	2.3449076	-0.57779006	3.3484828	-0.57179548	0.21413158	0.21413162	0.36738221	0.36738219	1.4165584e-08	0.5666134	0.44949195	3.0852829e-08	0.56661324	1.8475359e-08	3.4131952e-08	0.44949204	0.49383671	0.49383681	0.19980168	0.19980153	-4.94324e-10	1.9169636e-09	-2.5322102e-08	8.9873858e-09	1.4616332e-08	9.3935549e-09	-1.2531251e-08	3.3439458e-09	-1.9464408e-08	-7.1070311e-09	-1.3241989e-09	5.407009e-09	0.12043747	0.25837003	6.9577078e-09	0.16613359	0.12689133	2.985474e-09	-0.166134	2.6742514e-09	1.5213278e-08	-0.12689139	-0.2481406	-0.034350281
-0.3	0.2	8	0.000515930 	1.061074400	-0.605403970	5.15	0	-0.18932825	0.20706167	1.3215995	-0.42416275	0.36691108	-0.16779036	1.4189866	-0.79495935	-0.15329757	0.15329758	0.038806002	0.038805931	-0.38395044	-0.38395036	-0.13555831	-0.13555854	-0.24647788	-0.24647796	-0.15089438	-0.15089442	0.45720307	0.45720313	0.14714537	0.14714537	-9.234318e-05	0.00057087572	0.0002691136	-0.00074480939	-7.4482742e-05	-8.2206147e-05	0.00011372374	-2.2068646e-05	0.0006172117	0.00054446617	0.00074989284	0.00075092512	-0.012021329	0.18030607	0.3839504	-0.38395046	0.13555818	-0.13555814	-0.24647856	0.24647886	-0.15089481	0.15089478	-0.25098959	0.32162468
-0.3	0.2	8	0.000517541 	1.061074400	-0.605403960	5.15	0	-0.18932829	0.20706156	1.3215996	-0.42416274	0.36691104	-0.16779034	1.4189866	-0.79495934	-0.15329758	0.1532976	0.038805992	0.038805967	-0.38395039	-0.3839504	-0.13555828	-0.13555853	-0.24647787	-0.24647795	-0.15089437	-0.15089441	0.45720311	0.45720315	0.14714535	0.14714537	-9.2245452e-05	0.0005752528	0.00026628511	-0.00074396556	-7.4389154e-05	-8.1991483e-05	0.00011419941	-1.7018797e-05	0.00061681801	0.00054636772	0.00074904383	0.00075011881	-0.012021332	0.18030604	0.3839504	-0.38395048	0.13555818	-0.13555817	-0.24647855	0.24647886	-0.15089481	0.15089478	-0.25098957	0.32162468
-0.3	0.2	8	0.000514364 	1.069613000	-0.585019200	5.2	0	-0.17904272	0.18648102	1.2845201	-0.37499689	0.35662766	-0.1487634	1.3709288	-0.70155715	-0.16480178	0.16480117	0.04089139	0.040891364	-0.38195424	-0.38195418	-0.14056934	-0.14056931	-0.24805449	-0.24805448	-0.1520159	-0.15201592	0.45644646	0.45644657	0.13147725	0.13147695	-7.7284757e-05	0.0003765751	0.00027393153	-0.00063729248	-7.4701401e-05	-7.4982491e-05	-0.00010905439	-0.00014857227	0.0004208188	0.00039909923	0.00063790061	0.00063780779	-0.019611892	0.17763054	0.38195442	-0.38195449	0.14057025	-0.14057033	-0.24805485	0.24805485	-0.15201662	0.15201655	-0.24647966	0.31888049
