#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 23.2477856  0.0060187 -0.0416108  0.0018745 -0.0412814  0.0003846  0.0000987 -0.0016633 -0.0416645
 23.4991130  0.0056405 -0.0411181  0.0022657 -0.0412448  0.0000028  0.0002692 -0.0014789 -0.0414339
 23.7504405  0.0052952 -0.0403457  0.0026016 -0.0409208 -0.0000174  0.0000486 -0.0017268 -0.0408799
 24.0017679  0.0051854 -0.0403521  0.0023836 -0.0404807 -0.0000689 -0.0002991 -0.0014225 -0.0407158
 24.2530953  0.0053389 -0.0394011  0.0020216 -0.0398422  0.0004575 -0.0000306 -0.0016850 -0.0401219
 24.5044227  0.0056060 -0.0394621  0.0023072 -0.0389482  0.0001553 -0.0002325 -0.0011433 -0.0395290
 24.7557501  0.0049195 -0.0390718  0.0020782 -0.0391407  0.0003604  0.0003221 -0.0013760 -0.0392184
 25.0070775  0.0049876 -0.0390141  0.0023278 -0.0382887 -0.0000940  0.0001955 -0.0011452 -0.0385109
 25.2584049  0.0043783 -0.0383380  0.0022161 -0.0381956 -0.0000811  0.0000943 -0.0012892 -0.0384917
 25.5097323  0.0040749 -0.0382290  0.0022101 -0.0378773  0.0004542  0.0003488 -0.0016765 -0.0382011
 25.7610598  0.0049727 -0.0372415  0.0023155 -0.0381122 -0.0002164 -0.0000332 -0.0011566 -0.0377286
 26.0123872  0.0048665 -0.0372757  0.0020946 -0.0377609  0.0004431 -0.0004596 -0.0013924 -0.0381301
 26.2637146  0.0036178 -0.0369631  0.0017269 -0.0368301  0.0002416 -0.0004108 -0.0013627 -0.0372238
 26.5150420  0.0041321 -0.0363705  0.0018132 -0.0369335 -0.0001645  0.0001678 -0.0009724 -0.0364011
 26.7663694  0.0045527 -0.0356056  0.0014621 -0.0363116  0.0002907  0.0000394 -0.0008828 -0.0364465
 27.0176968  0.0044652 -0.0359171  0.0015577 -0.0356206  0.0001367 -0.0000633 -0.0017689 -0.0358779
 27.2690242  0.0036854 -0.0349627  0.0015963 -0.0355085 -0.0000015  0.0000162 -0.0006862 -0.0357490
 27.5203516  0.0047775 -0.0359305  0.0017623 -0.0349471  0.0001516  0.0000548 -0.0015441 -0.0355882
 27.7716791  0.0030349 -0.0355601  0.0013558 -0.0356197  0.0000034  0.0005988 -0.0012584 -0.0346415
 28.0230065  0.0035161 -0.0338259  0.0012373 -0.0349573 -0.0000918 -0.0000052 -0.0007484 -0.0345479
 28.2743339  0.0041963 -0.0341201  0.0016798 -0.0343472 -0.0000339  0.0002919 -0.0013996 -0.0342328
 28.5256613  0.0029959 -0.0342989  0.0012426 -0.0337925 -0.0001728  0.0002379 -0.0007968 -0.0342200
 28.7769887  0.0038059 -0.0333231  0.0017862 -0.0341657 -0.0000481  0.0003097 -0.0006729 -0.0335975
 29.0283161  0.0039375 -0.0326214  0.0016121 -0.0329688 -0.0000503 -0.0000422 -0.0012226 -0.0339449
 29.2796435  0.0040824 -0.0326984  0.0017459 -0.0335730  0.0004139 -0.0002714 -0.0016209 -0.0333691
 29.5309709  0.0032741 -0.0328298  0.0019354 -0.0331207  0.0006219 -0.0003238 -0.0007045 -0.0331686
 29.7822984  0.0037034 -0.0329272  0.0013135 -0.0331007  0.0002366  0.0001793 -0.0013423 -0.0329150
 30.0336258  0.0038530 -0.0326938  0.0012370 -0.0327284 -0.0003055 -0.0003749 -0.0004471 -0.0326280
 30.2849532  0.0030622 -0.0324143  0.0012806 -0.0328151 -0.0000858  0.0000091 -0.0004553 -0.0328906
 30.5362806  0.0035307 -0.0322724  0.0018578 -0.0326119 -0.0000357 -0.0003708 -0.0008160 -0.0319320
 30.7876080  0.0032701 -0.0318577  0.0014671 -0.0315877 -0.0002349  0.0001139 -0.0003224 -0.0322946
 31.0389354  0.0031030 -0.0313595  0.0017227 -0.0319497  0.0007298 -0.0001952 -0.0005912 -0.0313340
 31.2902628  0.0023201 -0.0312149  0.0015731 -0.0312375  0.0001611 -0.0000281 -0.0003525 -0.0315575
 31.5415902  0.0029349 -0.0304463  0.0011772 -0.0308126  0.0001394  0.0002009 -0.0000964 -0.0306227
 31.7929177  0.0032548 -0.0306413  0.0012202 -0.0310779  0.0004892 -0.0001296 -0.0010066 -0.0304260
 32.0442451  0.0026909 -0.0299390  0.0012768 -0.0310617  0.0001061  0.0004349 -0.0008302 -0.0303178
 32.2955725  0.0034831 -0.0301272  0.0009499 -0.0301669 -0.0005652  0.0003321 -0.0007435 -0.0301497
 32.5468999  0.0030784 -0.0294142  0.0013585 -0.0305338 -0.0002094  0.0000950 -0.0008404 -0.0298428
 32.7982273  0.0028995 -0.0298252  0.0007598 -0.0301385  0.0003830  0.0000615 -0.0004431 -0.0292226
 33.0495547  0.0034389 -0.0296688  0.0014564 -0.0299459 -0.0002424 -0.0005483 -0.0008267 -0.0292233
 33.3008821  0.0030335 -0.0297039  0.0015496 -0.0302042 -0.0000153  0.0000837 -0.0008766 -0.0289870
 33.5522095  0.0027228 -0.0295457  0.0013014 -0.0294649  0.0001123  0.0001192 -0.0010722 -0.0292139
 33.8035370  0.0027146 -0.0291086  0.0017391 -0.0295424  0.0000222 -0.0001789 -0.0009042 -0.0285974
 34.0548644  0.0025434 -0.0290934  0.0011236 -0.0288782  0.0000531 -0.0001542 -0.0016023 -0.0288101
 34.3061918  0.0026962 -0.0287070  0.0010135 -0.0288628  0.0000408  0.0001631 -0.0002654 -0.0287315
 34.5575192  0.0025567 -0.0285653  0.0011325 -0.0285832 -0.0001415 -0.0004787 -0.0010441 -0.0279967
 34.8088466  0.0024234 -0.0278906  0.0008039 -0.0287868  0.0002511  0.0000234 -0.0009210 -0.0282311
 35.0601740  0.0025296 -0.0283528  0.0007144 -0.0279903 -0.0000056 -0.0002641 -0.0008397 -0.0286311
 35.3115014  0.0025812 -0.0276958  0.0013220 -0.0275784  0.0000719 -0.0000204 -0.0009871 -0.0275372
 35.5628288  0.0026321 -0.0278075  0.0015089 -0.0279025  0.0002396  0.0000938 -0.0010871 -0.0278249
 35.8141563  0.0022937 -0.0274628  0.0011830 -0.0273692  0.0001889  0.0003381 -0.0014201 -0.0277586
