#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 21.6705779  0.0063721 -0.0450124  0.0019691 -0.0436685  0.0000528  0.0001450 -0.0022426 -0.0449796
 21.9270344  0.0060693 -0.0433111  0.0022800 -0.0437472  0.0001700  0.0000964 -0.0022073 -0.0440681
 22.1834910  0.0065741 -0.0432413  0.0022558 -0.0429134  0.0000088  0.0001451 -0.0018718 -0.0435045
 22.4399475  0.0060567 -0.0430079  0.0029166 -0.0432328 -0.0000581  0.0000316 -0.0013313 -0.0439265
 22.6964041  0.0057394 -0.0417508  0.0020868 -0.0418357 -0.0000480  0.0000464 -0.0015039 -0.0427150
 22.9528606  0.0049424 -0.0416455  0.0027041 -0.0421397 -0.0002567  0.0000278 -0.0016486 -0.0427344
 23.2093172  0.0055405 -0.0410365  0.0023556 -0.0418939 -0.0001020  0.0001142 -0.0015754 -0.0423663
 23.4657737  0.0055899 -0.0405803  0.0018104 -0.0413574 -0.0000625  0.0001732 -0.0014613 -0.0415724
 23.7222302  0.0051911 -0.0406400  0.0019172 -0.0407124 -0.0000475  0.0001421 -0.0010777 -0.0409176
 23.9786868  0.0055119 -0.0397889  0.0021732 -0.0400425 -0.0000723  0.0000822 -0.0014309 -0.0405145
 24.2351433  0.0048004 -0.0395330  0.0025695 -0.0400566 -0.0000297 -0.0001549 -0.0011896 -0.0402014
 24.4915999  0.0050612 -0.0392767  0.0021850 -0.0401188 -0.0000113 -0.0000644 -0.0011498 -0.0395847
 24.7480564  0.0049621 -0.0391218  0.0018827 -0.0393352  0.0000743 -0.0000794 -0.0007734 -0.0392916
 25.0045130  0.0043060 -0.0386543  0.0022789 -0.0388545  0.0002387  0.0000720 -0.0019020 -0.0389400
 25.2609695  0.0036264 -0.0384248  0.0020685 -0.0386935  0.0000420 -0.0001709 -0.0011205 -0.0390260
 25.5174260  0.0053834 -0.0378383  0.0017031 -0.0371553 -0.0000564 -0.0001496 -0.0015424 -0.0382815
 25.7738826  0.0047626 -0.0375450  0.0017355 -0.0369613 -0.0000486  0.0000984 -0.0015144 -0.0380173
 26.0303391  0.0046354 -0.0373091  0.0019500 -0.0379250 -0.0001531 -0.0000730 -0.0006144 -0.0369033
 26.2867957  0.0046079 -0.0367804  0.0019124 -0.0368075  0.0001007 -0.0000518 -0.0013118 -0.0371354
 26.5432522  0.0041157 -0.0366684  0.0019606 -0.0367942 -0.0001140  0.0000331 -0.0010416 -0.0372213
 26.7997088  0.0041310 -0.0358744  0.0019063 -0.0351737  0.0001346 -0.0000212 -0.0013406 -0.0363314
 27.0561653  0.0044936 -0.0359080  0.0016669 -0.0363682 -0.0000041 -0.0000963 -0.0009864 -0.0359153
 27.3126218  0.0045274 -0.0356048  0.0012283 -0.0355698 -0.0000512  0.0001076 -0.0004549 -0.0354489
 27.5690784  0.0042852 -0.0355308  0.0021696 -0.0357258  0.0000406  0.0000197 -0.0010912 -0.0353908
 27.8255349  0.0042259 -0.0351629  0.0018596 -0.0353828  0.0000969  0.0000132 -0.0011024 -0.0348693
 28.0819915  0.0042519 -0.0345833  0.0014506 -0.0349092 -0.0003297 -0.0001466 -0.0020643 -0.0346833
 28.3384480  0.0034798 -0.0350615  0.0017066 -0.0336765 -0.0001723 -0.0001881 -0.0014517 -0.0340571
 28.5949046  0.0031475 -0.0339005  0.0013692 -0.0339019  0.0000691  0.0000268 -0.0011526 -0.0346411
 28.8513611  0.0041740 -0.0337730  0.0015557 -0.0344856 -0.0000031 -0.0000686 -0.0011698 -0.0340332
 29.1078176  0.0039686 -0.0339550  0.0013095 -0.0331639 -0.0001994 -0.0000541 -0.0009184 -0.0338580
 29.3642742  0.0030429 -0.0332287  0.0018131 -0.0330526 -0.0000642 -0.0000230 -0.0010133 -0.0332111
 29.6207307  0.0036909 -0.0334574  0.0017342 -0.0330835 -0.0001910 -0.0000368 -0.0012368 -0.0333301
 29.8771873  0.0027354 -0.0328590  0.0019824 -0.0327079 -0.0001118  0.0001033 -0.0010654 -0.0331122
 30.1336438  0.0026668 -0.0321396  0.0015551 -0.0326458  0.0000755  0.0000133 -0.0006855 -0.0328938
 30.3901004  0.0031513 -0.0323453  0.0016876 -0.0324337  0.0000354  0.0002519 -0.0009263 -0.0326533
 30.6465569  0.0027696 -0.0321866  0.0007258 -0.0321972 -0.0000134 -0.0001297 -0.0007307 -0.0319122
 30.9030134  0.0025325 -0.0315897  0.0014387 -0.0317245  0.0000715 -0.0000342 -0.0012591 -0.0315805
 31.1594700  0.0026452 -0.0311856  0.0011412 -0.0314799  0.0000296 -0.0001547 -0.0008413 -0.0316961
 31.4159265  0.0028227 -0.0304341  0.0016040 -0.0313441 -0.0000273 -0.0000146 -0.0006295 -0.0310261
 31.6723831  0.0032846 -0.0310820  0.0011335 -0.0313840 -0.0000663 -0.0001522 -0.0006227 -0.0313049
 31.9288396  0.0020724 -0.0304767  0.0011801 -0.0306200  0.0000800  0.0001422 -0.0005262 -0.0307031
 32.1852962  0.0025832 -0.0306113  0.0013354 -0.0301540  0.0000251  0.0000135 -0.0010792 -0.0304675
 32.4417527  0.0022268 -0.0298439  0.0007751 -0.0297066  0.0000176 -0.0001018 -0.0009207 -0.0304340
 32.6982093  0.0028363 -0.0303620  0.0015953 -0.0299008 -0.0000716  0.0000503 -0.0001334 -0.0298474
 32.9546658  0.0019697 -0.0296416  0.0014196 -0.0300272 -0.0001489  0.0000761 -0.0009136 -0.0300172
 33.2111223  0.0024120 -0.0293083  0.0012564 -0.0290181 -0.0001305 -0.0000015 -0.0004605 -0.0304986
 33.4675789  0.0024807 -0.0287337  0.0022785 -0.0295764  0.0002970 -0.0002626 -0.0007576 -0.0294304
 33.7240354  0.0027887 -0.0287985  0.0019534 -0.0293700  0.0001268  0.0000599 -0.0004168 -0.0298247
 33.9804920  0.0019060 -0.0293022  0.0013820 -0.0282666  0.0001117 -0.0001512 -0.0001741 -0.0290897
 34.2369485  0.0025608 -0.0283248  0.0010322 -0.0286106 -0.0001904 -0.0000612 -0.0012881 -0.0290498
 34.4934051  0.0027610 -0.0281890  0.0007865 -0.0282592 -0.0000433  0.0000336 -0.0001143 -0.0288120
 34.7498616  0.0024308 -0.0284215  0.0012461 -0.0277838 -0.0001244  0.0000328 -0.0003005 -0.0288467
 35.0063181  0.0024675 -0.0281891  0.0013564 -0.0280503 -0.0000694  0.0001356 -0.0005269 -0.0284126
 35.2627747  0.0023901 -0.0271839  0.0015063 -0.0288169  0.0000422  0.0001085  0.0002962 -0.0283878
 35.5192312  0.0021429 -0.0276258  0.0013733 -0.0277505 -0.0001896  0.0002202 -0.0004987 -0.0273603
 35.7756878  0.0025083 -0.0270373  0.0010426 -0.0278927 -0.0000528  0.0001065 -0.0006340 -0.0275775
 36.0321443  0.0021101 -0.0271312  0.0013103 -0.0274666 -0.0002297  0.0001013 -0.0003563 -0.0283204
 36.2886009  0.0023532 -0.0263737  0.0001132 -0.0265888  0.0000206 -0.0001112  0.0000112 -0.0274540
 36.5450574  0.0021395 -0.0262571  0.0004253 -0.0268078  0.0001061 -0.0000517  0.0000057 -0.0271000
 36.8015139  0.0022992 -0.0264249  0.0007557 -0.0266883  0.0000315  0.0001057  0.0003276 -0.0262460
 37.0579705  0.0029365 -0.0259070  0.0008902 -0.0267308 -0.0000188 -0.0000073 -0.0005140 -0.0264709
 37.3144270  0.0028385 -0.0261279  0.0010229 -0.0262660  0.0000223  0.0001034 -0.0004852 -0.0264651
 37.5708836  0.0020797 -0.0261462  0.0006200 -0.0260394 -0.0001042  0.0000152 -0.0007496 -0.0262919
 37.8273401  0.0023122 -0.0257943  0.0009474 -0.0261494 -0.0001341 -0.0000241 -0.0000460 -0.0262860
 38.0837967  0.0010924 -0.0261269  0.0006524 -0.0265349  0.0000054 -0.0000344  0.0003621 -0.0260059
 38.3402532  0.0021307 -0.0247767  0.0007999 -0.0255627  0.0001264  0.0001233 -0.0001421 -0.0255699
 38.5967097  0.0022877 -0.0248608  0.0010289 -0.0260616  0.0001925 -0.0001721 -0.0003758 -0.0253489
 38.8531663  0.0026579 -0.0249844  0.0011275 -0.0251555  0.0000026  0.0001237 -0.0004369 -0.0255682
 39.1096228  0.0023541 -0.0250141  0.0014306 -0.0255463 -0.0000263 -0.0000527 -0.0006134 -0.0252851
 39.3660794  0.0020553 -0.0257201  0.0004456 -0.0249186 -0.0000904 -0.0001789 -0.0001316 -0.0250701
 39.6225359  0.0017076 -0.0245658  0.0007953 -0.0248362 -0.0001217 -0.0000066 -0.0005277 -0.0242515
 39.8789925  0.0018037 -0.0242365  0.0009372 -0.0249964 -0.0000689 -0.0001356  0.0001294 -0.0251697
